TERRITORY_ID,NAME_HTML,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
RS123,Јужнобачка област,4240.16,4657.23,4852.57,4804.67,5094.96,5438.14,5521.52,6004.72,6033.51,5754.35,5896.66,6154.97,6274.37,6875.89,6735.95,6410.42,6632.51,6650.04,6710.34,6916.98,6881.7,7396.23,8222.15
RS124,Севернобанатска област,2728.99,2996.11,2962.55,2938.08,3211.81,3416.06,3488.27,3766.27,3986.94,3692.43,3779.42,4120.01,4147.61,3889.31,3896.18,4156.86,4206.31,4274.02,4416.51,4604.55,4632.13,5034.14,5895.69
RS125,Севернобачка област,2719.51,3004.78,3040.01,3045.07,3294.14,3542.8,3658.47,3970.66,4135.04,3924.11,4016.56,4237.21,4304.09,4190.75,4375.71,4621.4,4869.71,4924.9,5035.68,5225.61,5234.26,5664.86,6550.75
RS126,Средњобанатска област,3135.0,3425.66,3384.03,3335.28,3651.19,3877.02,3936.22,4243.83,4472.46,4125.47,4227.33,4617.14,4642.59,4626.22,4671.43,4618.26,4637.66,4639.41,5009.57,5219.27,5248.07,5701.09,6545.46
RS127,Сремска област,2573.2,2796.7,2769.36,2732.72,2989.27,3208.24,3303.39,3576.1,3741.05,3528.58,3615.57,3847.72,3892.99,4137.58,4248.8,4419.06,4690.67,5043.72,5306.98,5508.47,5517.23,5966.98,6711.24
RS211,Златиборска област,2023.0,2110.71,2245.61,2548.95,2510.98,2566.75,2785.36,2872.36,2963.18,3227.69,3246.07,3578.08,3392.79,3511.79,3728.88,3881.83,4174.62,4212.41,4217.0,4438.71,4413.69,4814.41,5195.75
RS212,Колубарска област,2165.27,2212.26,2257.81,2338.12,2450.13,2513.21,2763.81,2893.98,3043.89,3430.7,3393.05,3584.92,3411.7,3499.15,3748.38,3972.9,4004.8,4125.98,4132.96,4445.95,4492.4,4664.52,5055.91
RS213,Мачванска област,1954.09,2092.31,1990.95,1996.83,2207.17,2368.35,2178.89,2541.22,2845.23,2923.7,3090.76,3490.56,2985.23,2946.19,3133.3,3207.25,3244.37,3363.49,3435.73,3495.1,3461.3,3752.4,4055.78
RS214,Моравичка област,2840.83,2864.59,2873.41,2930.4,3134.84,3440.77,3707.12,3858.01,4124.8,3932.19,3930.64,3720.33,3904.0,3992.45,4151.37,4258.13,4476.94,4786.42,4887.37,4926.19,4932.32,5300.66,5739.65
RS215,Поморавска област,2278.1,2507.12,2674.41,2855.5,2687.78,3039.08,2984.75,3261.63,3321.13,3412.01,3322.08,3294.08,3216.01,3133.3,3412.88,3239.38,3261.73,3274.27,3375.56,3731.25,3678.34,4288.93,4709.96
RS216,Расинска област,2707.51,2552.21,2406.51,2490.97,2553.54,2530.46,2630.44,2849.73,2899.62,2883.04,2922.74,2995.87,2850.71,2844.75,2840.97,3075.23,3136.57,3238.39,3398.9,3687.46,3710.62,4298.1,4696.68
RS217,Рашка област,1751.44,1825.86,2139.03,2401.15,2391.65,2422.72,2628.7,2620.21,2722.53,2811.77,2705.01,2544.91,2419.34,2530.24,2523.7,2614.42,2652.5,2744.89,2952.65,2920.72,2911.22,3411.8,3669.88
RS218,Шумадијска област,2000.89,2032.57,2215.86,2365.7,2485.18,2882.93,2908.28,3236.88,3182.84,3175.42,3169.11,3294.94,3761.81,4249.67,4625.49,4719.23,4643.34,4461.68,4356.73,4618.17,4506.31,4881.5,5277.08
RS221,Борска област,2523.02,2454.08,2394.33,2624.74,2411.01,2772.57,3065.15,2704.09,2890.25,3214.31,4010.76,4803.26,4715.26,4512.35,4134.49,4042.07,4289.02,4933.81,5386.73,6439.95,7307.94,11015.24,12192.66
RS222,Браничевска област,2554.89,2798.8,3130.96,3239.93,3378.61,3659.77,3558.99,3562.29,3805.07,4171.45,4150.3,3958.45,3759.01,4178.32,4000.68,4085.43,4185.02,4152.52,4720.1,4422.24,4596.47,5000.31,5439.39
RS223,Зајечарска област,2263.72,2296.38,2114.85,2340.83,2435.93,2331.31,2226.41,2099.8,2402.95,2374.22,2312.21,2822.33,2619.93,2827.63,3134.03,3127.38,3050.27,2975.46,3170.44,2944.39,3132.73,3651.93,4040.17
RS224,Јабланичка област,1942.63,1892.69,2118.1,2187.71,2063.84,1931.0,2287.93,1807.8,1955.62,2021.76,2032.82,2317.39,2228.97,2335.65,2420.72,2492.05,2603.21,2663.22,2657.94,2905.3,2892.95,3344.54,3675.74
RS225,Нишавска област,2687.01,2888.97,3024.36,3257.65,3572.48,3794.38,4087.9,3855.15,3992.99,3909.56,3816.44,3349.36,3353.63,3438.29,3550.32,3530.93,3773.43,3921.9,4148.43,4494.16,4240.89,4935.89,5368.69
RS226,Пиротска област,2022.64,2213.33,2132.75,2194.68,2322.35,2510.34,2433.84,2604.38,2704.18,3204.67,3425.67,3665.91,3577.06,4025.71,3983.63,4580.02,4661.0,4760.35,5018.27,4923.54,4554.16,4946.41,5469.27
RS227,Подунавска област,1758.68,1661.7,1754.69,1649.46,1787.7,1883.92,2141.58,2042.57,2227.1,2142.51,2345.58,2597.49,2340.37,2273.17,2178.22,2127.2,2235.54,2524.19,3025.67,2640.14,3208.31,3783.26,4115.28
RS228,Пчињска област,2549.87,2407.77,2290.77,2351.41,2080.08,2040.6,2219.58,2206.42,2273.99,2196.1,2166.63,2296.78,2218.32,2169.66,2167.17,2340.81,2335.25,2444.76,2602.51,2750.6,2616.9,3018.08,3230.29
RS229,Топличка област,1944.24,1984.63,2050.45,1968.33,1982.04,1787.43,1858.0,1856.71,1977.01,2163.48,2088.55,2604.81,2457.28,2822.37,2752.23,2862.37,2994.32,3118.77,3306.82,3465.14,3214.33,3627.58,3982.54
SI031,Pomurska,10319.14,10565.76,10821.95,10849.96,11415.79,11626.65,12007.2,12681.96,12965.44,11978.27,12080.12,12466.22,12252.95,12285.47,12637.16,12666.38,13214.78,13774.29,14380.83,14772.69,14284.09,15308.95,15667.25
SI032,Podravska,12072.92,12445.53,13075.38,13193.27,13865.24,14388.69,15292.72,16379.76,16966.49,15470.9,15528.06,15676.99,15149.33,14862.77,15410.45,15549.32,15893.37,16488.69,17077.76,17780.07,16891.69,18382.31,18604.53
SI033,Koroska,12423.01,12944.2,12866.03,12877.84,13321.14,13890.92,14299.86,15341.74,15708.01,13829.14,14008.25,14544.33,14472.88,14380.21,14805.32,15317.98,15764.57,16326.79,17192.59,17607.19,16502.19,17401.64,17682.18
SI034,Savinjska,13278.99,13457.59,14112.31,14273.49,14924.31,15575.58,16175.92,17345.08,18274.4,16501.79,17054.31,17346.89,16804.71,16446.21,16871.83,17405.81,17852.24,18658.46,19170.51,19736.59,18379.4,19945.9,20220.9
SI035,Zasavska,10485.9,10469.15,10351.99,10318.67,10665.34,11158.91,11412.57,11926.48,12366.33,11243.26,11495.78,11424.46,10750.77,10621.79,10480.72,10213.65,10391.44,10716.16,11087.57,11544.26,11256.55,11982.79,12310.39
SI036,Posavska,12452.91,12745.59,13372.82,12758.21,13316.28,14158.12,14628.12,15651.63,16265.51,15098.68,15305.02,15582.89,15158.37,15061.83,15448.54,15792.18,16254.13,16928.79,17603.66,18441.95,18190.06,19110.35,17864.59
SI037,Jugovzhodna Slovenija,14468.78,14710.14,15265.59,15579.08,16507.53,16772.11,18115.94,19344.8,19785.51,17671.44,18000.42,18006.03,17248.21,17130.34,17555.71,17947.6,18316.05,19868.27,20794.37,21794.43,20701.86,21615.84,21407.8
SI038,Primorsko-notranjska,11966.73,11910.87,12241.68,12273.8,12695.33,12883.41,13461.16,14492.64,14874.47,13649.09,13376.72,13311.08,12721.21,12818.8,13343.49,14050.61,14547.53,14773.51,15234.91,15205.45,14334.09,15975.98,15876.08
SI041,Osrednjeslovenska,20393.32,21224.83,21900.38,23256.54,24177.9,25201.12,26793.87,28321.8,28778.61,26774.35,26680.02,26711.93,26139.24,25658.77,26175.08,26540.16,27465.8,28538.29,29796.84,30552.22,29882.27,32717.1,33246.58
SI042,Gorenjska,12941.06,13490.79,13839.53,14105.64,14726.68,15003.52,15440.97,16540.19,16821.64,14823.62,15199.11,15388.24,15077.86,15422.86,16170.86,16630.06,17039.13,18139.15,18996.86,19481.74,17415.31,18426.53,20056.92
SI043,Goriska,14236.82,14681.42,15067.07,15227.2,15616.9,16172.19,16831.67,18489.25,18974.36,17203.83,17212.43,17105.22,16488.34,16298.72,16694.55,17276.03,17898.26,18756.05,19152.05,19395.71,18082.99,19615.71,20415.26
SI044,Obalno-kraska,15535.4,15910.27,16476.73,16912.31,17517.14,18012.35,19075.57,20492.69,21272.88,19688.61,19944.0,19641.67,18292.11,17618.11,17973.21,18795.93,19366.66,20784.31,21687.54,21427.34,19117.24,20029.53,22070.74
HR021,Bjelovarsko-bilogorska županija,5965.21,6258.52,6747.56,6773.84,6965.69,6873.06,7623.78,7413.27,8266.41,7860.48,7108.42,7081.14,6757.53,6863.82,6976.97,7266.14,7757.53,7928.5,8450.22,8618.04,8491.01,10045.06,10527.21
