TERRITORY_ID,NUTS2_ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,ln_edu_2000,ln_edu_2001,ln_edu_2002,ln_edu_2003,ln_edu_2004,ln_edu_2005,ln_edu_2006,ln_edu_2007,ln_edu_2008,ln_edu_2009,ln_edu_2010,ln_edu_2011,ln_edu_2012,ln_edu_2013,ln_edu_2014,ln_edu_2015,ln_edu_2016,ln_edu_2017,ln_edu_2018,ln_edu_2019,ln_edu_2020,ln_edu_2021,ln_edu_2022
SI033,SI03,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,21.2,22.3,23.6,24.8,26.0,26.8,28.2,27.9,28.5,30.8,35.3,35.7,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,3.054,3.1046,3.1612,3.2108,3.2581,3.2884,3.3393,3.3286,3.3499,3.4275,3.5639,3.5752
SI034,SI03,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,21.2,22.3,23.6,24.8,26.0,26.8,28.2,27.9,28.5,30.8,35.3,35.7,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,3.054,3.1046,3.1612,3.2108,3.2581,3.2884,3.3393,3.3286,3.3499,3.4275,3.5639,3.5752
SI035,SI03,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,21.2,22.3,23.6,24.8,26.0,26.8,28.2,27.9,28.5,30.8,35.3,35.7,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,3.054,3.1046,3.1612,3.2108,3.2581,3.2884,3.3393,3.3286,3.3499,3.4275,3.5639,3.5752
SI036,SI03,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,21.2,22.3,23.6,24.8,26.0,26.8,28.2,27.9,28.5,30.8,35.3,35.7,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,3.054,3.1046,3.1612,3.2108,3.2581,3.2884,3.3393,3.3286,3.3499,3.4275,3.5639,3.5752
SI037,SI03,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,21.2,22.3,23.6,24.8,26.0,26.8,28.2,27.9,28.5,30.8,35.3,35.7,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,3.054,3.1046,3.1612,3.2108,3.2581,3.2884,3.3393,3.3286,3.3499,3.4275,3.5639,3.5752
SI038,SI03,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,21.2,22.3,23.6,24.8,26.0,26.8,28.2,27.9,28.5,30.8,35.3,35.7,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,3.054,3.1046,3.1612,3.2108,3.2581,3.2884,3.3393,3.3286,3.3499,3.4275,3.5639,3.5752
SI041,SI04,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,29.7,31.3,32.9,33.1,35.0,35.3,37.5,37.7,38.7,41.6,46.0,45.1,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3911,3.4436,3.4935,3.4995,3.5553,3.5639,3.6243,3.6297,3.6558,3.7281,3.8286,3.8089
SI042,SI04,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,29.7,31.3,32.9,33.1,35.0,35.3,37.5,37.7,38.7,41.6,46.0,45.1,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3911,3.4436,3.4935,3.4995,3.5553,3.5639,3.6243,3.6297,3.6558,3.7281,3.8286,3.8089
SI043,SI04,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,29.7,31.3,32.9,33.1,35.0,35.3,37.5,37.7,38.7,41.6,46.0,45.1,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3911,3.4436,3.4935,3.4995,3.5553,3.5639,3.6243,3.6297,3.6558,3.7281,3.8286,3.8089
SI044,SI04,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,29.7,31.3,32.9,33.1,35.0,35.3,37.5,37.7,38.7,41.6,46.0,45.1,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3569,3.3911,3.4436,3.4935,3.4995,3.5553,3.5639,3.6243,3.6297,3.6558,3.7281,3.8286,3.8089
