VERSIONS,LEVEL_ID,TERRITORY_ID,NAME_HTML,UNIT,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
2021,3,AT212,Oberkärnten,EUR2015,16331.0,16383.47,16531.26,16632.81,16919.04,16912.75,17262.24,17050.81,17624.19,18792.59,19505.52,20402.83,20531.68,20280.22,20960.32,19692.06,20361.79,21139.02,21178.83,22496.63,22829.04,23010.65,23180.85,23580.1,24112.48,24187.79,25645.46,26592.22,26867.32,26493.75,25673.57,26764.34,26748.58,27035.27,26843.15,25953.39,26293.22,27162.22,27422.39,28180.5,26785.57,26846.84,28555.15,27790.55,27501.37,27705.94,28071.13
2021,3,AT213,Unterkärnten,EUR2015,13907.6,14040.69,14266.64,14450.21,14790.1,14879.53,15286.88,15196.58,15810.81,16961.7,17718.79,18630.83,18838.23,18702.51,19421.94,18238.85,19202.98,20009.71,20762.98,21374.86,21534.9,21955.62,23270.77,24194.69,24894.66,25177.96,26057.54,27529.5,27968.44,26074.09,26976.29,28189.08,28718.13,28824.46,29471.28,30025.84,30121.27,30768.57,32189.61,32001.75,29228.18,31303.23,33366.38,32508.25,32169.87,32408.92,32835.5
2021,3,AT221,Graz,EUR2015,27516.28,27611.32,27613.24,28138.77,28229.79,29413.37,29596.45,29269.12,30634.16,32421.5,34026.13,35125.47,36103.09,35703.66,37351.78,36221.92,38023.52,38885.76,40021.22,41664.35,43328.1,43439.06,43337.34,44584.25,46068.05,46636.56,47097.18,48102.45,48220.58,45431.43,45245.73,46828.13,47654.66,46651.78,46474.27,45975.74,46997.08,47676.86,48104.78,49387.45,46003.93,48494.73,49450.4,47891.52,47393.14,47745.77,48374.7
2021,3,AT222,Liezen,EUR2015,19111.2,18990.08,18827.56,19020.55,18932.91,19594.28,19581.1,19240.87,20017.76,21054.38,21985.5,22577.39,23097.32,22738.96,23699.87,22369.08,23368.57,23972.06,24732.87,25565.67,26273.57,26573.49,27353.59,27647.06,29508.44,29871.75,30691.44,31966.56,32975.39,31371.01,31822.74,32327.84,33823.6,34157.91,34472.05,34289.48,35660.71,36411.89,37040.37,37217.14,34453.37,34346.9,35477.92,34606.83,34246.4,34500.89,34955.48
2021,3,AT223,Östliche Obersteiermark,EUR2015,16461.82,16588.74,16681.69,17090.28,17247.21,18073.2,18291.28,18197.29,19161.58,20407.0,21556.13,22354.64,23045.46,22858.72,23983.54,23150.4,23397.96,23788.06,26036.55,26905.67,27653.65,28802.88,28234.86,28459.85,29390.44,32118.26,33829.21,36076.08,35570.66,32852.27,32797.69,34866.91,35892.44,35231.78,36107.86,36707.55,35492.69,37283.9,37171.17,37924.62,33020.07,36097.0,37139.55,36150.82,35774.93,36040.89,36515.72
2021,3,AT224,Oststeiermark,EUR2015,14493.38,14368.94,14217.77,14358.96,14290.25,14792.89,14802.34,14571.98,15204.32,16053.8,16823.02,17339.31,17778.48,17554.26,18351.06,17574.34,18389.99,19129.68,20208.38,21178.63,21783.88,22593.2,22659.84,22717.84,23728.79,23598.75,24629.84,26504.57,26621.36,25670.03,27055.3,27186.95,27984.24,27711.78,28288.3,28214.69,28508.95,30135.93,30358.74,30917.81,29518.29,30744.28,31660.33,30835.39,30514.67,30741.69,31146.6
2021,3,AT225,West- und Südsteiermark,EUR2015,14609.46,14527.03,14405.26,14568.85,14523.48,15042.34,15063.39,14839.33,15472.71,16331.79,17105.26,17622.75,18069.74,17836.15,18641.08,17817.7,18605.06,19619.55,20516.45,21073.26,21898.42,22357.41,22644.46,23717.92,24861.45,24717.17,25034.08,26542.86,26525.14,24251.2,25836.27,27153.98,27064.77,27219.0,27267.69,26918.57,27856.89,28285.77,28422.49,28905.83,27605.94,29382.56,30201.55,29421.03,29114.77,29331.25,29717.69
2021,3,AT226,Westliche Obersteiermark,EUR2015,17234.26,17199.43,17130.42,17396.54,17394.87,18071.47,18133.68,17884.91,18673.11,19715.73,20647.33,21254.28,21750.42,21420.12,22330.86,21368.41,21831.27,22787.59,23700.18,24433.11,25464.39,25888.24,26189.69,26023.75,27121.31,26453.21,27800.43,28757.8,29273.0,26652.29,28235.52,28894.07,29370.73,28902.5,28457.07,27966.89,29220.77,30124.18,30694.65,31385.76,29582.11,30726.81,31751.98,30940.41,30617.95,30846.08,31252.51
2021,3,AT311,Innviertel,EUR2015,17047.3,17113.41,17015.34,17427.35,17096.01,18081.57,17613.49,17767.29,18686.69,19614.18,20319.4,20898.3,21022.94,20459.89,21098.75,19916.16,20934.8,22001.71,22769.94,23345.38,24914.55,25088.86,25518.01,25956.83,26878.38,27866.6,28801.38,30421.22,31147.89,29331.86,30516.18,32545.41,33098.26,34076.1,34874.91,34064.27,34537.91,36148.99,36953.22,37350.75,34855.88,37918.11,38886.72,37904.69,37510.27,37789.31,38287.06
2021,3,AT312,Linz-Wels,EUR2015,30681.67,30952.46,30896.27,31741.26,31216.49,33059.9,32224.51,32504.51,34166.27,35815.19,37026.55,38055.91,38304.33,37274.87,38426.22,36800.85,38328.0,40203.33,41615.81,43176.32,45880.92,46731.98,46537.24,47664.69,47650.47,48651.12,49866.3,51010.22,53339.93,49354.38,50886.53,51638.2,50900.25,50721.57,50200.52,50705.95,50232.48,51243.33,52613.27,52749.07,49818.24,52935.26,54277.97,52900.21,52349.85,52739.27,53433.91
