Year;Country;Region_Code;Region_Name;Level;Indicator;Value;Data_Type;Notes
1996;SI;SI036;Posavska;3;KIS Value;10,96;Actual;
1996;SI;SI037;Jugovzhodna Slovenija;3;KIS Value;23,74;Actual;
1996;SI;SI038;Primorsko-notranjska;3;KIS Value;9,74;Actual;
1996;SI;SI041;Osrednjeslovenska;3;KIS Value;179,08;Actual;
1996;SI;SI042;Gorenjska;3;KIS Value;31,8;Actual;
1996;SI;SI043;Goriska;3;KIS Value;20,62;Actual;
1996;SI;SI044;Obalno-kraska;3;KIS Value;23,34;Actual;
1997;HR;HR021;Bjelovarsko-bilogorska županija;3;KIS Value;15,92;Actual;
1997;HR;HR022;Viroviti?ko-podravska županija;3;KIS Value;9,7;Actual;
1997;HR;HR023;Požeško-slavonska županija;3;KIS Value;10,28;Actual;
1997;HR;HR024;Brodsko-posavska županija;3;KIS Value;18,22;Actual;
1997;HR;HR025;Osje?ko-baranjska županija;3;KIS Value;49,78;Actual;
1997;HR;HR026;Vukovarsko-srijemska županija;3;KIS Value;23,8;Actual;
1997;HR;HR027;Karlova?ka županija;3;KIS Value;21,88;Actual;
1997;HR;HR028;Sisa?ko-moslava?ka županija;3;KIS Value;23,82;Actual;
1997;HR;HR031;Primorsko-goranska zupanija;3;KIS Value;58,34;Actual;
1997;HR;HR032;Licko-senjska zupanija;3;KIS Value;8,12;Actual;
1997;HR;HR033;Zadarska zupanija;3;KIS Value;28,54;Actual;
1997;HR;HR034;Sibensko-kninska zupanija;3;KIS Value;17,06;Actual;
1997;HR;HR035;Splitsko-dalmatinska zupanija;3;KIS Value;75,18;Actual;
1997;HR;HR036;Istarska zupanija;3;KIS Value;37,84;Actual;
1997;HR;HR037;Dubrovacko-neretvanska zupanija;3;KIS Value;23,94;Actual;
1997;HR;HR050;Grad Zagreb;3;KIS Value;286,28;Actual;
1997;HR;HR061;Me?imurska županija;3;KIS Value;13,64;Actual;
1997;HR;HR062;Varaždinska županija;3;KIS Value;25,58;Actual;
