TERRITORY_ID,NAME_HTML,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,ln_gdppc_2000,ln_gdppc_2001,ln_gdppc_2002,ln_gdppc_2003,ln_gdppc_2004,ln_gdppc_2005,ln_gdppc_2006,ln_gdppc_2007,ln_gdppc_2008,ln_gdppc_2009,ln_gdppc_2010,ln_gdppc_2011,ln_gdppc_2012,ln_gdppc_2013,ln_gdppc_2014,ln_gdppc_2015,ln_gdppc_2016,ln_gdppc_2017,ln_gdppc_2018,ln_gdppc_2019,ln_gdppc_2020,ln_gdppc_2021,ln_gdppc_2022
ME000,Crna Gora,3994.14,4020.13,4082.68,4170.08,4343.72,4523.95,4908.56,5232.46,5598.93,5257.89,5391.73,5559.93,5403.96,5590.22,5684.53,5873.89,6045.8,6330.16,6653.17,6925.71,5872.43,6660.91,7110.55,8.2926,8.2991,8.3145,8.3357,8.3765,8.4171,8.4987,8.5626,8.6303,8.5675,8.5926,8.6233,8.5949,8.6288,8.6455,8.6783,8.7071,8.7531,8.8028,8.843,8.678,8.804,8.8693
MK001,Vardarski,2378.21,2590.28,2630.65,3001.12,2934.53,3472.57,3484.74,3259.74,3417.78,3474.05,3733.94,3909.71,4141.64,4515.13,4543.47,4731.8,4741.98,4707.1,4889.11,5263.75,5000.5,5423.41,5828.27,7.7741,7.8595,7.875,8.0067,7.9843,8.1527,8.1561,8.0894,8.1367,8.1531,8.2252,8.2712,8.3288,8.4152,8.4214,8.4621,8.4642,8.4568,8.4948,8.5686,8.5173,8.5985,8.6705
MK002,Istocen,2274.2,1975.3,2093.74,2167.46,2364.26,2305.55,2731.1,2873.36,3249.73,3326.05,3870.48,3978.53,3783.78,3811.14,4044.01,4117.04,4173.44,4431.11,4566.15,4670.18,4523.81,5168.84,5731.09,7.7294,7.5885,7.6467,7.6813,7.7682,7.7431,7.9125,7.9632,8.0863,8.1095,8.2611,8.2887,8.2385,8.2457,8.305,8.3229,8.3365,8.3964,8.4264,8.449,8.4171,8.5504,8.6537
MK003,Jugozapaden,2560.44,2286.25,2351.13,2139.34,2422.49,2232.44,2604.98,2604.63,3017.88,2662.38,2969.06,3093.24,2991.8,3002.01,3131.08,3456.02,3484.94,3645.56,3684.21,3713.78,3519.03,4403.85,5055.15,7.8479,7.7347,7.7627,7.6683,7.7926,7.7109,7.8652,7.865,8.0123,7.887,7.996,8.037,8.0036,8.007,8.0491,8.1479,8.1562,8.2013,8.2118,8.2198,8.1659,8.3902,8.5282
MK004,Jugoistocen,2544.61,2457.55,2516.95,2711.08,2874.19,3357.58,3158.62,3506.76,3351.67,3672.31,4164.67,4456.99,4427.01,4476.73,5036.14,5125.4,5364.28,5339.9,5243.39,5364.25,4994.49,5346.82,5950.09,7.8417,7.8069,7.8308,7.9051,7.9635,8.119,8.0579,8.1624,8.1172,8.2086,8.3344,8.4022,8.3955,8.4066,8.5244,8.542,8.5875,8.583,8.5647,8.5875,8.5161,8.5843,8.6912
MK005,Pelagoniski,3522.45,3509.3,3660.84,3921.49,3711.95,4306.09,3444.46,3703.59,4040.87,4063.29,4155.7,3978.96,3833.67,4086.01,4172.38,4234.16,4430.17,4411.67,4753.52,4981.7,4743.3,4846.84,5172.13,8.1669,8.1632,8.2054,8.2742,8.2193,8.3678,8.1445,8.2171,8.3042,8.3097,8.3322,8.2888,8.2516,8.3153,8.3362,8.3509,8.3962,8.392,8.4666,8.5135,8.4645,8.4861,8.551
MK006,Poloski,1569.62,1364.35,1469.73,1673.15,1581.44,1485.88,1811.21,1803.33,1950.37,1917.73,1968.53,2022.69,1884.52,1993.61,1942.37,1977.95,2079.63,2147.01,2184.76,2296.56,2208.43,2548.33,2983.52,7.3586,7.2184,7.2928,7.4225,7.3661,7.3038,7.5018,7.4974,7.5758,7.5589,7.585,7.6122,7.5414,7.5977,7.5717,7.5898,7.6399,7.6718,7.6893,7.7392,7.7,7.8432,8.0009
MK007,Severoistocen,1978.69,1709.51,1708.35,1803.22,1788.97,2065.63,1901.34,1851.72,2463.32,2123.15,2170.88,2588.62,2581.48,2544.4,2463.67,2665.43,2640.93,2660.45,2704.51,2731.14,2594.98,2940.44,3246.86,7.5902,7.444,7.4433,7.4973,7.4894,7.6332,7.5503,7.5239,7.8093,7.6607,7.6829,7.8589,7.8561,7.8417,7.8094,7.8881,7.8789,7.8863,7.9027,7.9125,7.8613,7.9863,8.0854
MK008,Skopski,4408.91,4464.7,4420.14,4278.17,4660.42,4678.14,5236.76,5798.79,5797.66,5830.16,5671.02,5666.78,5755.99,5860.51,6068.35,6280.0,6457.08,6448.62,6636.81,6918.33,6634.13,7141.83,7504.15,8.3914,8.404,8.3939,8.3613,8.4469,8.4507,8.5635,8.6654,8.6652,8.6708,8.6431,8.6424,8.658,8.676,8.7108,8.7451,8.7729,8.7716,8.8004,8.8419,8.8,8.8737,8.9232
RS110,Београдска област,3939.67,4389.93,5141.18,5575.5,6555.63,6893.82,7453.83,8218.7,8908.94,8486.02,8510.25,8456.32,8506.24,8717.0,8194.36,8474.14,8805.91,9022.66,9603.95,10169.83,10049.81,10497.2,11211.33,8.2789,8.3871,8.545,8.6261,8.7881,8.8384,8.9165,9.0142,9.0948,9.0462,9.049,9.0427,9.0486,9.073,9.0112,9.0448,9.0832,9.1075,9.1699,9.2272,9.2153,9.2589,9.3247
RS121,Западнобачка област,2637.56,2862.21,2767.39,2722.86,3005.36,3183.78,3259.17,3507.88,3758.95,3441.44,3515.07,3869.3,3869.76,3688.29,3664.26,3985.31,4072.78,4258.96,4096.11,4278.18,4311.16,4690.02,5390.1,7.8776,7.9593,7.9257,7.9094,8.0082,8.0658,8.0892,8.1628,8.2319,8.1436,8.1648,8.2608,8.2609,8.2129,8.2064,8.2904,8.3121,8.3568,8.3178,8.3613,8.369,8.4532,8.5923
RS122,Јужнобанатска област,2805.08,3074.97,3058.58,3030.89,3295.51,3507.24,3583.13,3859.12,4044.63,3751.29,3825.91,4110.87,4145.31,4158.01,4273.91,4255.51,4668.47,4763.46,5117.07,5313.7,5325.66,5767.17,6528.95,7.9392,8.0311,8.0257,8.0166,8.1003,8.1626,8.184,8.2582,8.3051,8.2299,8.2496,8.3214,8.3297,8.3328,8.3603,8.356,8.4486,8.4687,8.5403,8.578,8.5803,8.6599,8.784
RS123,Јужнобачка област,4240.16,4657.23,4852.57,4804.67,5094.96,5438.14,5521.52,6004.72,6033.51,5754.35,5896.66,6154.97,6274.37,6875.89,6735.95,6410.42,6632.51,6650.04,6710.34,6916.98,6881.7,7396.23,8222.15,8.3524,8.4462,8.4873,8.4773,8.536,8.6012,8.6164,8.7003,8.7051,8.6577,8.6821,8.725,8.7442,8.8358,8.8152,8.7657,8.7997,8.8024,8.8114,8.8417,8.8366,8.9087,9.0146
RS124,Севернобанатска област,2728.99,2996.11,2962.55,2938.08,3211.81,3416.06,3488.27,3766.27,3986.94,3692.43,3779.42,4120.01,4147.61,3889.31,3896.18,4156.86,4206.31,4274.02,4416.51,4604.55,4632.13,5034.14,5895.69,7.9117,8.0051,7.9938,7.9855,8.0746,8.1362,8.1572,8.2338,8.2908,8.214,8.2373,8.3236,8.3303,8.266,8.2678,8.3325,8.3443,8.3603,8.3931,8.4348,8.4408,8.524,8.682
RS125,Севернобачка област,2719.51,3004.78,3040.01,3045.07,3294.14,3542.8,3658.47,3970.66,4135.04,3924.11,4016.56,4237.21,4304.09,4190.75,4375.71,4621.4,4869.71,4924.9,5035.68,5225.61,5234.26,5664.86,6550.75,7.9082,8.008,8.0196,8.0213,8.0999,8.1727,8.2048,8.2867,8.3273,8.2749,8.2982,8.3517,8.3673,8.3406,8.3838,8.4385,8.4908,8.5021,8.5243,8.5613,8.563,8.642,8.7873
RS126,Средњобанатска област,3135.0,3425.66,3384.03,3335.28,3651.19,3877.02,3936.22,4243.83,4472.46,4125.47,4227.33,4617.14,4642.59,4626.22,4671.43,4618.26,4637.66,4639.41,5009.57,5219.27,5248.07,5701.09,6545.46,8.0504,8.139,8.1268,8.1123,8.2028,8.2628,8.278,8.3532,8.4057,8.3249,8.3493,8.4375,8.443,8.4395,8.4492,8.4378,8.442,8.4423,8.5191,8.5601,8.5656,8.6484,8.7865
RS127,Сремска област,2573.2,2796.7,2769.36,2732.72,2989.27,3208.24,3303.39,3576.1,3741.05,3528.58,3615.57,3847.72,3892.99,4137.58,4248.8,4419.06,4690.67,5043.72,5306.98,5508.47,5517.23,5966.98,6711.24,7.8529,7.9362,7.9264,7.9131,8.0028,8.0735,8.1027,8.182,8.2271,8.1687,8.193,8.2552,8.2669,8.3279,8.3544,8.3937,8.4533,8.5259,8.5768,8.614,8.6156,8.694,8.8115
RS211,Златиборска област,2023.0,2110.71,2245.61,2548.95,2510.98,2566.75,2785.36,2872.36,2963.18,3227.69,3246.07,3578.08,3392.79,3511.79,3728.88,3881.83,4174.62,4212.41,4217.0,4438.71,4413.69,4814.41,5195.75,7.6123,7.6548,7.7167,7.8434,7.8284,7.8504,7.9321,7.9629,7.994,8.0795,8.0852,8.1826,8.1294,8.1639,8.2239,8.2641,8.3368,8.3458,8.3469,8.3981,8.3925,8.4794,8.5556
RS212,Колубарска област,2165.27,2212.26,2257.81,2338.12,2450.13,2513.21,2763.81,2893.98,3043.89,3430.7,3393.05,3584.92,3411.7,3499.15,3748.38,3972.9,4004.8,4125.98,4132.96,4445.95,4492.4,4664.52,5055.91,7.6803,7.7018,7.7222,7.7571,7.8039,7.8293,7.9244,7.9704,8.0209,8.1405,8.1295,8.1845,8.135,8.1603,8.2291,8.2873,8.2952,8.3251,8.3267,8.3997,8.4101,8.4477,8.5283
RS213,Мачванска област,1954.09,2092.31,1990.95,1996.83,2207.17,2368.35,2178.89,2541.22,2845.23,2923.7,3090.76,3490.56,2985.23,2946.19,3133.3,3207.25,3244.37,3363.49,3435.73,3495.1,3461.3,3752.4,4055.78,7.5777,7.646,7.5964,7.5993,7.6995,7.7699,7.6866,7.8404,7.9534,7.9806,8.0362,8.1578,8.0014,7.9883,8.0498,8.0732,8.0847,8.1207,8.142,8.1591,8.1494,8.2302,8.3079
RS214,Моравичка област,2840.83,2864.59,2873.41,2930.4,3134.84,3440.77,3707.12,3858.01,4124.8,3932.19,3930.64,3720.33,3904.0,3992.45,4151.37,4258.13,4476.94,4786.42,4887.37,4926.19,4932.32,5300.66,5739.65,7.9519,7.9602,7.9633,7.9829,8.0503,8.1435,8.218,8.2579,8.3248,8.277,8.2766,8.2216,8.2698,8.2922,8.3312,8.3566,8.4067,8.4735,8.4944,8.5023,8.5036,8.5756,8.6552
