TERRITORY_ID,NAME_HTML,UNIT,Year,GDP_Value
RS221,Борска област,Million EUR,2006,354.2
RS222,Браничевска област,Million EUR,2006,582.2
RS223,Зајечарска област,Million EUR,2006,244.2
RS224,Јабланичка област,Million EUR,2006,444.9
RS225,Нишавска област,Million EUR,2006,1316.9
RS226,Пиротска област,Million EUR,2006,205.7
RS227,Подунавска област,Million EUR,2006,372.5
RS228,Пчињска област,Million EUR,2006,408.4
RS229,Топличка област,Million EUR,2006,153.2
SI031,Pomurska,Million EUR,2006,1244.95
SI032,Podravska,Million EUR,2006,4146.2
SI033,Koroska,Million EUR,2006,894.49
SI034,Savinjska,Million EUR,2006,3457.94
SI035,Zasavska,Million EUR,2006,579.48
SI036,Posavska,Million EUR,2006,944.83
SI037,Jugovzhodna Slovenija,Million EUR,2006,2153.75
SI038,Primorsko-notranjska,Million EUR,2006,586.9
SI041,Osrednjeslovenska,Million EUR,2006,11305.22
SI042,Gorenjska,Million EUR,2006,2667.5
SI043,Goriska,Million EUR,2006,1742.5
SI044,Obalno-kraska,Million EUR,2006,1752.35
HR021,Bjelovarsko-bilogorska županija,Million EUR,2007,819.0
HR022,Virovitičko-podravska županija,Million EUR,2007,599.1
HR023,Požeško-slavonska županija,Million EUR,2007,520.3
HR024,Brodsko-posavska županija,Million EUR,2007,929.4
HR025,Osječko-baranjska županija,Million EUR,2007,2630.7
HR026,Vukovarsko-srijemska županija,Million EUR,2007,1134.4
HR027,Karlovačka županija,Million EUR,2007,1082.3
HR028,Sisačko-moslavačka županija,Million EUR,2007,1285.6
HR031,Primorsko-goranska zupanija,Million EUR,2007,3568.38
HR032,Licko-senjska zupanija,Million EUR,2007,423.81
HR033,Zadarska zupanija,Million EUR,2007,1456.22
HR034,Sibensko-kninska zupanija,Million EUR,2007,918.11
HR035,Splitsko-dalmatinska zupanija,Million EUR,2007,3956.04
HR036,Istarska zupanija,Million EUR,2007,2740.87
HR037,Dubrovacko-neretvanska zupanija,Million EUR,2007,1299.62
HR050,Grad Zagreb,Million EUR,2007,14214.8
HR061,Međimurska županija,Million EUR,2007,899.1
HR062,Varaždinska županija,Million EUR,2007,1468.3
HR063,Koprivničko-križevačka županija,Million EUR,2007,1055.8
HR064,Krapinsko-zagorska županija,Million EUR,2007,957.1
HR065,Zagrebačka županija,Million EUR,2007,2436.7
ME000,Crna Gora,Million EUR,2007,2689.1
MK001,Vardarski,Million EUR,2007,450.31
MK002,Istocen,Million EUR,2007,406.21
MK003,Jugozapaden,Million EUR,2007,434.4
MK004,Jugoistocen,Million EUR,2007,469.06
MK005,Pelagoniski,Million EUR,2007,700.72
MK006,Poloski,Million EUR,2007,447.82
MK007,Severoistocen,Million EUR,2007,266.03
MK008,Skopski,Million EUR,2007,2919.93
RS110,Београдска област,Million EUR,2007,12566.1
RS121,Западнобачка област,Million EUR,2007,671.3
RS122,Јужнобанатска област,Million EUR,2007,1123.2
RS123,Јужнобачка област,Million EUR,2007,3506.7
RS124,Севернобанатска област,Million EUR,2007,562.6
RS125,Севернобачка област,Million EUR,2007,735.1
RS126,Средњобанатска област,Million EUR,2007,801.6
RS127,Сремска област,Million EUR,2007,1108.5
RS211,Златиборска област,Million EUR,2007,836.1
RS212,Колубарска област,Million EUR,2007,514.7
RS213,Мачванска област,Million EUR,2007,774.7
RS214,Моравичка област,Million EUR,2007,820.7
RS215,Поморавска област,Million EUR,2007,702.4
RS216,Расинска област,Million EUR,2007,695.4
RS217,Рашка област,Million EUR,2007,774.1
RS218,Шумадијска област,Million EUR,2007,936.1
RS221,Борска област,Million EUR,2007,354.3
RS222,Браничевска област,Million EUR,2007,665.7
RS223,Зајечарска област,Million EUR,2007,261.8
RS224,Јабланичка област,Million EUR,2007,400.8
RS225,Нишавска област,Million EUR,2007,1430.0
RS226,Пиротска област,Million EUR,2007,250.2
RS227,Подунавска област,Million EUR,2007,407.4
RS228,Пчињска област,Million EUR,2007,462.9
RS229,Топличка област,Million EUR,2007,174.5
RSZZZ,Extra regio (RS),Million EUR,2007,20.7
SI031,Pomurska,Million EUR,2007,1356.43
SI032,Podravska,Million EUR,2007,4642.8
SI033,Koroska,Million EUR,2007,989.96
SI034,Savinjska,Million EUR,2007,3853.42
SI035,Zasavska,Million EUR,2007,630.69
SI036,Posavska,Million EUR,2007,1046.62
SI037,Jugovzhodna Slovenija,Million EUR,2007,2388.18
SI038,Primorsko-notranjska,Million EUR,2007,656.87
SI041,Osrednjeslovenska,Million EUR,2007,12585.52
SI042,Gorenjska,Million EUR,2007,2981.37
SI043,Goriska,Million EUR,2007,1978.75
SI044,Obalno-kraska,Million EUR,2007,1962.85
HR021,Bjelovarsko-bilogorska županija,Million EUR,2007,819.0
HR022,Virovitičko-podravska županija,Million EUR,2007,599.1
HR023,Požeško-slavonska županija,Million EUR,2007,520.3
HR024,Brodsko-posavska županija,Million EUR,2007,929.4
HR025,Osječko-baranjska županija,Million EUR,2007,2630.7
HR026,Vukovarsko-srijemska županija,Million EUR,2007,1134.4
